"Site Code","Site Name","Site Type","Site Category","Region","Status","Address","GIS Migrated","Floorplans","Location","Comments","Restricted","Freehold/Leasehold","Power Resilience"
"ABNTD1","Howe Moss Crescent","Redstream",,"SCOTLAND","Normal","HOWE MOSS CRESCENT
DYCE
ABERDEENSHIRE
AB21 0GN","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/ABNTD1.pdf","https://www.google.com/maps/place/57°12%2722.5%22N+2°13%2723.5%22W/@57.2061581,-2.2235991,134m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d57.2062611!4d-2.2232","Data migrated to GIS","False","Leasehold","N only"
"YRKTH1","Hudson Way","Redstream",,"NORTH EAST","Normal","GREAT NORTH WAY
YORK
YORKSHIRE
YO26 6RN","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/YRKTH1.pdf?CT=1607402137498&OR=ItemsView","https://www.google.com/maps/place/53%C2%B058'37.4%22N+1%C2%B007'39.6%22W/@53.9770675,-1.1278983,167m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.9770639!4d-1.1276694","Data migrated to GIS","False","Leasehold","N only"
"GRSTB1","Huntingtower Park","Redstream",,"SCOTLAND","Normal","HUNTINGTPOWER PARK
GLENROTHES
FIFE
KY6 3QF","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/GRSTB1.pdf","https://www.google.co.uk/maps/place/56°12%2724.3%22N+3°12%2701.0%22W/@56.206746,-3.2015644,285m","Data migrated to GIS","False","Leasehold","N only"
"WAIP06","Imperial Park DC","Redstream",,"LONDON","Normal","IMPERIAL WAY
WATFORD
HERTFORDSHIRE
WD24 4PP","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/WAIP06.pdf?CT=1607618473875&OR=ItemsView","https://www.google.com/maps/place/51%C2%B040'05.3%22N+0%C2%B023'41.2%22W/@51.6678848,-0.3954871,352m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.6681361!4d-0.3947833","Data migrated to GIS","False","Leasehold","N only"
"IODN01","Isle of Dogs","Redstream","[""RA"",""OpX""]","LONDON","Normal","PRESTONS ROAD
LONDON
LONDON
E14 9NP","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/IODN01.pdf?CT=1607400931191&OR=ItemsView","https://www.google.com/maps/place/51%C2%B030'07.1%22N+0%C2%B000'32.9%22W/@51.5016575,-0.0094979,353m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5019806!4d-0.0091389","Data migrated to GIS","False","Leasehold","N only"
"IVER02","Iver S/S EAM","Redstream",,"THAMES VALLEY","Normal","CHANDLERS HILL
IVER HEATH
BUCKINGHAMSHIRE
SL0 0ED","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/IVER02.pdf?CT=1607400610951&OR=ItemsView","https://www.google.com/maps/place/51°32%2737.7%22N+0°29%2745.4%22W/@51.54372,-0.4961946,177m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5437972!4d-0.4959444","Data migrated to GIS","False","Leasehold","N only"
"DNDN71","Kilspindie Road","Redstream","[""RA""]","SCOTLAND","Normal","KILSPINDIE
DUNDEE
ANGUS
DD2 3QN","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DNDN71.pdf?CT=1613729820406&OR=ItemsView","https://www.google.com/maps/place/56°28%2746.9%22N+3°00%2748.6%22W/@56.4797109,-3.0143925,314m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d56.4797028!4d-3.0134944","Data migrated to GIS","False","Leasehold","N only"
"LPLTK1","King Edward Industrial Estate","Redstream","[""RA""]","NORTH WEST","Normal","GIBRALTAR ROW
LIVERPOOL
LANCASHIRE
L3 7HJ","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LPLTK1.pdf?csf=1&web=1&e=W0a8xB","https://www.google.com/maps/@53.4112051,-2.9982628,3a,75y,280.67h,75.91t/data=!3m6!1e1!3m4!1sRr9z7mwDCFytuRNr9YoViA!2e0!7i16384!8i8192?entry=ttu","Data migrated to GIS","False","Leasehold","N only"
"CTRTK1","Kingsfield Court","Redstream",,"NORTH WEST","Normal","KINGSFIELD COURT *DUP*
CHESTER

CH4 9RF","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CTRTK1.pdf?CT=1607399332860&OR=ItemsView","https://www.google.com/maps/place/53°09%2746.4%22N+2°53%2749.8%22W/@53.1629837,-2.8975189,170m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.1628889!4d-2.8971778","Data migrated to GIS","False","Leasehold","N only"
"WTNTK1","Kingsland Grange","Redstream","[""RA""]","NORTH WEST","Normal","KINGSLAND GRANGE
WARRINGTON
CHESHIRE
WA1 4RW","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/WTNTK1.pdf","https://www.google.com/maps/place/53°24%2729.8%22N+2°31%2754.4%22W/@53.4081133,-2.532033,356m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.4082667!4d-2.5317889","Data migrated to GIS","False","Leasehold","N only"
"PTHTL1","Ladeside Business Park","Redstream",,"SCOTLAND","Normal","LADESIDE BUSINESS PARK
PERTH
PERTHSHIRE
PH1 5RZ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/PTHTL1.pdf?CT=1607397811644&OR=ItemsView","https://www.google.com/maps/place/56°24%2705.3%22N+3°26%2740.2%22W/@56.401429,-3.4445401,83m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d56.4014694!4d-3.4444861","Data migrated to GIS","False","Leasehold","N only"
"MDE","Lake Road","Redstream",,"SOUTH EAST","Normal","LAKE ROAD
AYLESFORD
KENT
ME20 7TQ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/MDE.pdf?CT=1607508074327&OR=ItemsView","https://www.google.com/maps/place/51°17%2729.8%22N+0°28%2702.0%22E/@51.291416,0.4659919,374m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.2916083!4d0.4672139","Data migrated to GIS","False","Leasehold","N only"
"ABH","Leiston Road","Redstream",,"ANGLIA","Normal","LEISTON ROAD
ALDEBURGH
SUFFOLK
IP15 5QD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/ABH.pdf?CT=1606989253149&OR=ItemsView","https://www.google.com/maps/place/52°09%2747.6%22N+1°35%2733.1%22E/@52.1633549,1.5918954,367m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.1632111!4d1.5925194","Data Migrated to GIS","False","Freehold","N only"
"NGMTL1","Lenton Lane","Redstream",,"MIDLANDS","Normal","EASTER PARK
NOTTINGHAM
NOTTINGHAMSHIRE
NG7 2SD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/NGMTL1.pdf","https://www.google.com/maps/place/52°56%2731.8%22N+1°10%2720.0%22W/@52.9419428,-1.1729864,360m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.9421639!4d-1.1722222","Data migrated to GIS","False","Leasehold","N only"
"WONTL1","Lillyhall Depot EAM","Redstream",,"NORTH WEST","Normal","HALLWOOD ROAD
WORKINGTON
CUMBRIA
CA14 4PW","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/WONTL1.pdf?CT=1607509353182&OR=ItemsView","https://www.google.com/maps/place/54°36%2730.9%22N+3°31%2747.9%22W/@54.6085861,-3.5310665,346m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d54.6085861!4d-3.5299722","Data migrated to GIS","False","Leasehold","N only"
"BKBN41","Lions Drive","Redstream",,"NORTH WEST","Normal","LIONS DRIVE
BLACKBURN
LANCASHIRE
BB1 2QS","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BKBN41.pdf?csf=1&web=1&e=BWIMBM","https://www.google.com/maps/place/53°43%2751.4%22N+2°26%2749.2%22W/@53.7308054,-2.4477218,354m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.7309444!4d-2.4469972","Data migrated to GIS","False","Leasehold","N only"
"CHTTN3","London - Chart Street","Redstream","[""PX"",""RA"",""OpX""]","Inner London","Normal","CHART STREET
LONDON
N1 6EF","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CHTTN3.pdf?CT=1607511733363&OR=ItemsView","https://www.google.com/maps/place/51°31%2740.9%22N+0°05%2713.5%22W/@51.5280408,-0.0876382","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"INVTL1","Longman Road","Redstream",,"SCOTLAND","Normal","LONGMAN ROAD
INVERNESS
INVERNESHIRE
IV1 1SA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/INVTL1.pdf?CT=1607512323187&OR=ItemsView","https://www.google.com/maps/place/57°29%2707.3%22N+4°13%2718.5%22W/@57.4853244,-4.2219686,161m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d57.4853667!4d-4.2218139","Data migrated to GIS","False","Leasehold","N only"
"WTT","Low Road","Redstream",,"ANGLIA","Normal","LOW ROAD
GREAT YARMOUTH
NORFOLK
NR29 4BJ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/WTT.pdf?CT=1607515241313&OR=ItemsView","https://www.google.com/maps/place/52°43%2703.3%22N+1°41%2725.7%22E/@52.7174188,1.6901876,181m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.7175722!4d1.6904806","Data migrated to GIS","False","Freehold","N only"
"MDFTB1","MacDuff S/S EAM","Redstream",,"SCOTLAND","Normal","LAW OF DOUNE ROAD
MACDUFF
ABERDEENSHIRE
AB44 1XP","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/MDFTB1.pdf?CT=1607514652424&OR=ItemsView",,"Data migrated to GIS","False","Leasehold","N only"
"BHMTF1","Magreal Industrial Estate","Redstream","[""RA""]","West Midlands","Normal","FREETH STREET
BIRMINGHAM
WEST MIDLANDS
B16 0QZ
","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BHMTF1.pdf?CT=1607515822607&OR=ItemsView","https://www.google.com/maps/place/52°28%2751.2%22N+1°55%2741.2%22W/@52.4808185,-1.9285717,201m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.4808944!4d-1.9281139","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"MCRCD2","Manchester - Units 3, 4 & 5 Piccadilly Trading Estate","Redstream","[""PX"",""RA"",""OpX""]","North West","Normal","GREAT ANCOATS STREET
UNITS 3, 4 & 5 PICCADILLY TRADING ESTATE
MANCHESTER
M1 2NP","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/MCRCD2.pdf?CT=1614868974572&OR=ItemsView","https://www.google.com/maps/place/53°28%2742.9%22N+2°13%2718.8%22W/@53.4780161,-2.2217626,237m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.4785833!4d-2.2218889","Data migrated to GIS","False","Leasehold","N only"
"PTBTN1","Maskew Avenue","Redstream",,"ANGLIA","Normal","MASKEW AVENUE
PETERBOROUGH
CAMBRIDGESHIRE
PE1 2AS","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/PTBTN1.pdf?CT=1607517055432&OR=ItemsView","https://www.google.com/maps/place/52°35%2721.4%22N+0°15%2730.0%22W/@52.5891822,-0.2585831,182m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.5892639!4d-0.2583306","Data Migrated to GIS","False","Leasehold","N only"
"SWNN03","Matrix Court","Redstream","[""RA""]","WALES","Normal","MATRIX COURT
SWANSEA
WEST GLAMORGAN
SA7 9BB","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SWNN03.pdf?CT=1607520305870&OR=ItemsView","https://www.google.com/maps/place/51°38%2749.4%22N+3°55%2748.2%22W/@51.6467655,-3.9300678,371m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.64705!4d-3.9300417","Data migrated to GIS","False","Leasehold","N only"
"DFSN01","Maxwelltown Industrial Estate","Redstream",,"SCOTLAND","Normal","UNIT 5 BLOCK 2
DUMFRIES
DUMFRIES & GALLOWAY
DG2 0NW","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DFSN01.pdf","https://www.google.com/maps/place/55°04%2736.9%22N+3°37%2740.8%22W/@55.0769056,-3.6301943,684m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d55.0769056!4d-3.6280056","Data migrated to GIS","False","Leasehold","N only"
"LDMS13","Melbourne Street DC","Redstream",,"NORTH EAST","Planned Closure","MELBOURNE STREET
LEEDS
WEST YORKSHIRE
LS2 7PS","False","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LDMS13.pdf?CT=1607514382790&OR=ItemsView","https://www.google.com/maps/place/53%C2%B048'07.5%22N+1%C2%B032'08.9%22W/@53.8021767,-1.5363823,353m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.8020778!4d-1.5357917"," Closure Notice issued 25th April 2024
","False","Leasehold","N only"
"STEDN1","Meredith Road","Redstream",,"NORTHERN HOME COUNTIES","Normal","MEREDITH ROAD
STEVENAGE
HERTFORDSHIRE
SG1 5QT","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/STEDN1.pdf?CT=1607512460409&OR=ItemsView","https://www.google.com/maps/place/51°54%2755.9%22N+0°11%2703.9%22W/@51.9154442,-0.1848088,184m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.9155306!4d-0.1844083","Data migrated to GIS","False","Leasehold","N only"
"DBY","Midland Road","Redstream",,"MIDLANDS","Normal","MIDLAND ROAD
DERBY
DERBYSHIRE
DE1 2SN","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DBY.pdf?CT=1607511696141&OR=ItemsView","https://www.google.com/maps/place/52%C2%B054'46.0%22N+1%C2%B027'46.2%22W/@52.912723,-1.463192,180m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.9127889!4d-1.4628194","Data migrated to GIS","False","Leasehold","N only"
"WKGN01","Monument Way","Redstream","[""RA""]","SOUTH","Normal","MONUMENT WAY EAST
WOKING
SURREY
GU21 5LG","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/WKGN01.pdf?CT=1607510123711&OR=ItemsView","https://www.google.com/maps/place/51%C2%B019'42.5%22N+0%C2%B032'25.8%22W/@51.3284008,-0.5407078,187m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.3284778!4d-0.5405056","Data migrated to GIS","False","Leasehold","N only"
"DWLTM1","Mount Eagle NTL","Redstream",,"SCOTTISH HIGHLANDS & ISLANDS","Normal","NTL MT EAGLE THUS ONLY ROOM
DINGWALL
ROSSHIRE
IV7 8JA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DWLTM1.pdf?CT=1613730946885&OR=ItemsView","https://www.google.com/maps/place/57°35%2728.8%22N+4°16%2737.0%22W/@57.5910876,-4.2776538,320m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d57.5913333!4d-4.2769361","Data migrated to GIS","False","Leasehold","N only"
"EGNTM1","Moycroft Road","Redstream",,"SCOTLAND","Normal","MOYCROFT ROAD
ELGIN
MORAY
IV30 1XE","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/EGNTM1.pdf?CT=1607509123530&OR=ItemsView","https://www.google.com/maps/place/57°38%2758.7%22N+3°17%2731.6%22W/@57.6495499,-3.2924558,320m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d57.6496278!4d-3.2921056","Data migrated to GIS","False","Leasehold","N only"
"STGCD1","Munro Road","Redstream",,"SCOTLAND","Normal","MUNRO ROAD
STIRLING
STIRLINGSHIRE
FK7 7UU","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/STGCD1.pdf?CT=1608048759510&OR=ItemsView","https://www.google.com/maps/place/56%C2%B006'47.1%22N+3%C2%B054'49.1%22W/@56.1127453,-3.9147659,666m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d56.1130694!4d-3.9136278","Data migrated to GIS","False","Leasehold","N only"
"NECCD1","NEC Coleshill","Redstream",,"MIDLANDS","Normal","COLESHILL HEATH ROAD
BIRMINGHAM
WEST MIDLANDS
B37 7JA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/NECCD1.pdf?CT=1607507951609&OR=ItemsView","https://www.google.com/maps/place/52°27%2758.1%22N+1°43%2744.8%22W/@52.4660816,-1.7294279,182m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.4661278!4d-1.7291","Data migrated to GIS","False","Leasehold","N only"
"CSLN13","Nelson Street","Redstream",,"NORTH WEST","Normal","NELSON STREET
CARLISLE
CUMBRIA
CA2 5BJ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CSLN13.pdf?CT=1607600148759&OR=ItemsView","https://www.google.com/maps/place/54%C2%B053'19.9%22N+2%C2%B056'42.5%22W/@54.8888591,-2.9456898,166m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d54.8888583!4d-2.945125","Data migrated to GIS","False","Leasehold","N only"
"NWCNY1","New York Way","Redstream",,"NORTH EAST","Normal","NEW YORK WAY
NORTH SHIELDS
NEWCASTLE UPON TYNE
TYNE AND WEAR
NE27 0QF","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/NWCNY1.pdf?CT=1607600976633&OR=ItemsView","https://www.google.com/maps/place/55°01%2715.8%22N+1°29%2734.7%22W/@55.0211056,-1.4938672,343m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.0210417!4d-1.4929806","Data migrated to GIS","False","Leasehold","N only"
"PNRTN1","Newtongate S/S","Redstream",,"NORTH WEST","Normal","NEWTONGATE
PENRITH
CUMBRIA
CA11 0AB","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/PNRTN1.pdf?CT=1607601427725&OR=ItemsView","https://www.google.com/maps/place/54%C2%B039'55.2%22N+2%C2%B046'31.5%22W/@54.6650271,-2.7759066,346m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d54.6653278!4d-2.7754167","Data migrated to GIS","False","Leasehold","N only"
"NWCN05","Noble Street","Redstream","[""RA"",""OpX""]","NORTH EAST","Normal","NOBLE STREET
NEWCASTLE UPON TYNE
TYNE & WEAR
NE4 7PD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/NWCN05.pdf?CT=1607601865810&OR=ItemsView","https://www.google.com/maps/place/54°57%2751.8%22N+1°38%2742.3%22W/@54.9642957,-1.6458302,343m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d54.9643889!4d-1.6450944","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"FKE","North Close","Redstream",,"SOUTH EAST","Normal","NORTH CLOSE
FOLKESTONE
KENT
CT20 3UH","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/FKE.pdf?CT=1607602356862&OR=ItemsView","https://www.google.com/maps/place/51%C2%B004'50.5%22N+1%C2%B008'20.8%22E/@51.0807337,1.1385486,375m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.0806917!4d1.1391167","Data migrated to GIS","False","Leasehold","N only"
"AYRN01","North Harbour","Redstream",,"SCOTLAND","Normal","UNIT 19/20 BLOCK 6
AYR
AYRSHIRE
KA8 8BN","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/AYRN01.pdf?CT=1607622029888&OR=ItemsView","https://www.google.com/maps/place/55°28%2700.9%22N+4°37%2754.6%22W/@55.4669995,-4.6321026,169m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.4669111!4d-4.6318194","Data migrated to GIS","False","Leasehold","N only"
"GLWTW1","North Wallace St","Redstream",,"SCOTLAND","Normal","NORTH WALLACE ST / COUPER ST
GLASGOW
LANARKSHIRE
G4 0DL","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/GLWTW1.pdf?CT=1607618200107&OR=ItemsView","https://www.google.com/maps/place/55°52%2704.7%22N+4°14%2742.3%22W/@55.8677303,-4.2457829,335m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.867975!4d-4.245075","Data Migrated to GIS","False","Leasehold","N only"
"PTMN03","Northern Road","Redstream","[""RA""]","SOUTH","Normal","NORTHERN ROAD
PORTSMOUTH
HAMPSHIRE
PO6 3AH","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/PTMN03.pdf?CT=1607618880234&OR=ItemsView","https://www.google.com/maps/place/50°50%2739.3%22N+1°04%2710.6%22W/@50.8441455,-1.0695283,189m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.8442444!4d-1.0696028","Data migrated to GIS","False","Leasehold","N only"
"GLWTO1","Oakbank Ind. Estate","Redstream","[""RA""]","SCOTLAND","Normal","GARSCUBE ROAD
GLASGOW
LANARKSHIRE
G20 7LU","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/GLWTO1.pdf?CT=1607619338440&OR=ItemsView","https://www.google.com/maps/place/55°52%2735.4%22N+4°15%2745.7%22W/@55.8763313,-4.2635225,335m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.8764944!4d-4.2626972","Data migrated to GIS","False","Leasehold","N only"
"CDFN02","Ocean Way","Redstream",,"WALES","Normal","OCEAN WAY
CARDIFF

CF24 5HF","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CDFN02.pdf?CT=1607619725724&OR=ItemsView","https://www.google.com/maps/place/51%C2%B028'33.3%22N+3%C2%B009'34.2%22W/@51.4759284,-3.1603,372m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4759111!4d-3.1595083","Data migrated to GIS","False","Leasehold","N only"
"DLD","Old Loans Road","Redstream",,"SCOTLAND","Normal","OLD LOANS ROAD
KILMARNOCK
AYRSHIRE
KA2 9DD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DLD.pdf?CT=1607596577288&OR=ItemsView","https://www.google.com/maps/place/55%C2%B033'31.4%22N+4%C2%B036'04.8%22W/@55.5586257,-4.6016779,338m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.5587333!4d-4.6013389","Data migrated to GIS","False","Leasehold","N only"
"HLWN02","Old London Road","Redstream",,"ANGLIA","Normal","OLD LONDON ROAD
HARLOW
ESSEX
CM17 9HN","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/HLWN02.pdf?CT=1607597719439&OR=ItemsView","https://www.google.com/maps/place/51°45%2759.6%22N+0°07%2745.2%22E/@51.7665856,0.1288456,185m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.7665556!4d0.1292139","Data migrated to GIS","False","Freehold","N only"
"WHHN03","Old Whitehill Quarry","Redstream",,"THAMES VALLEY","Normal","OLD WHITEHILL QUARRY
KIDLINGTON
OXFORDSHIRE
OX5 3AU","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/WHHN03.pdf?CT=1607598237924&OR=ItemsView","https://www.google.co.uk/maps/place/51°51%2752.2%22N+1°18%2723.4%22W/@51.8643487,-1.3076294,480m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.8645111!4d-1.3065028?hl=en","Data migrated to GIS","False","Leasehold","N only"
"SBHN01","Olympian Trading Estate","Redstream",,"NORTH EAST","Normal","OLYMPIAN TRADING ESTATE
SCARBOROUGH
NORTH YORKSHIRE
YO11 3BT","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SBHN01.pdf?CT=1607598829595&OR=ItemsView","https://www.google.co.uk/maps/place/54°14%2708.5%22N+0°24%2702.5%22W/@54.2356837,-0.4028829,713m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d54.2356806!4d-0.4006889?hl=en","Data migrated to GIS","False","Leasehold","N only"
"RDG","Oxford Road","Redstream",,"THAMES VALLEY","Normal","OXFORD ROAD
READING
BERKSHIRE
RG30 6EX","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/RDG.pdf?CT=1607599378006&OR=ItemsView","https://www.google.co.uk/maps/place/51%C2%B028'11.7%22N+1%C2%B001'36.5%22W/@51.4698379,-1.0271889,244m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4699194!4d-1.0267944?hl=en","Data migrated to GIS","False","Leasehold","N only"
"OHB","Oxwich Bay","Redstream",,"WALES","Normal","HOME FARM
SWANSEA
WEST GLAMORGAN
SA3 1LA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/OHB.pdf?CT=1607599879210&OR=ItemsView","https://www.google.co.uk/maps/place/51°34%2745.6%22N+4°10%2730.7%22W/@51.5790306,-4.1754521,473m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5793222!4d-4.1751972?hl=en","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"PRLN02","Park Royal DC","Redstream",,"LONDON","Normal","CORONATION ROAD
LONDON
MIDDLESEX
NW10 7PH","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/PRLN02.pdf?CT=1607606359670&OR=ItemsView","https://www.google.co.uk/maps/place/51°31%2744.9%22N+0°16%2726.8%22W/@51.5290147,-0.2746415,384m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5291472!4d-0.2741056?hl=en","Data migrated to GIS","False","Leasehold","N only"
"FRNN03","Penhale Road","Redstream","[""Amitie""]","SOUTH WEST","Normal","NEW ROAD
(Previously - PENHALE ROAD)
ST.COLUMB
CORNWALL
TR9 6NA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/FRNN03.pdf?CT=1607600791947&OR=ItemsView","https://www.google.co.uk/maps/place/50%C2%B022'39.3%22N+4%C2%B056'42.8%22W/@50.3775157,-4.9458232,229m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.377575!4d-4.9452139?hl=en","Data migrated to GIS","False","Freehold","N+N (Full A&B)"
"WADN01","Peterwood Way Waddon","Redstream",,"LONDON","Planned Closure","UNIT7 INDUSTRIAL PARK
CROYDON
SURREY
CR0 4UQ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/WADN01.pdf?CT=1607689318037&OR=ItemsView","https://www.google.co.uk/maps/place/51°22%2732.6%22N+0°07%2723.0%22W/@51.3760475,-0.1237192,306m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.3757111!4d-0.1230444?hl=en","Data migrated to GIS","False","Leasehold","N only"
